_id,product_url,Details,Attributes_and_specifications,Number_of_items_sold,product_type,brand_name
2638761,https://www.petco.com/shop/en/petcostore/product/dallas-manufacturing-green-faux-suede-couch-bed,"{'product_name': 'Dallas Manufacturing Green Suede Couch Bed, 34"" L x 34"" W', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/2638761-center-1', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nDallas Manufacturing Green Suede Couch Bed, 34""\n- Bolstered back wall for support and comfort\n- Soft microtec sleep surface\n- Removable cover\n- Cover is Machine Washable', 'Specifications': {'id': '2638761', 'Lifestage': 'Adult', 'Primary Brand': 'Dallas Manufacturing', 'Days to Ship': 'Usually Leaves Warehouse in 5-7 Business Days'}}","{'Additional_features': {'Primary Color': 'Green', 'Material': 'Polyester', 'Washing instructions': 'Machine Washable', 'Bed Shape': 'Round', 'Size': 'Medium', 'Bed Fill': 'Fiberfill', 'Bed Type': 'Bolster Beds', 'Lifestage': 'Adult'}, 'item_dimensions': {'Height': '34 IN', 'Width': '34 IN', 'Breed Sizes': 'Medium'}, 'Weight': '12.678735034889428 kg'}",9993,dog-bed,Dallas Manufacturing
2909091,https://www.petco.com/shop/en/petcostore/product/caldera-hot-and-cold-insert-dog-beds,"{'product_name': 'Caldera Hot & Cold Insert Dog Beds, 16"" L X 11.5"" W', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/2909091-center-1', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nCaldera International, a leader in human hot and cold therapy products since 1999 has now designed and developed a NEW Hot & Cold Pet Bed Insert. This one of a kind therapeutic insert provides both cooling relief to an over-heated pet, or soothing warmth to a chilled, or arthritic pet. The time-tested Non-Toxic (FDA Approved) gel packs can be cooled in the freezer or warmed in the microwave. Simply slide the insert into your pet\'s existing bed, providing your pet with the desired temperature relief they require. Each insert is constructed using a 40-ounce truck tarp material, creating the ultimate chew and scratch resistant pet bed insert. Includes: 11.5"" x 16.5"" Pet Bed Insert and one reusable Hot & Cold Pet Therapy Gel Pack.\n- Works with Existing Pet Beds, Perfect for Year-Round Comfort Both Indoors and Outdoors\n- Made with Truck Tarp for Maximum Chew and Scratch Resistance. 40 Ounce Truck Tarp Material Delivers Prolonged Cooling or Heating\n- Ideal for Newborn, Convalescing and Elderly Pets\n- Easy to Clean, Water and Mildew Resistant\n- Non-Toxic, Microwave and Freezer Safe Gel Packs that Work Both Hot & Cold.\n- Providing Your Pet with Cooling Relief or Soothing Warmth\n- Proudly Made in USA Gel Pack Included, Replacement Can Be Purchased Separately', 'Specifications': {'id': '2909091', 'Lifestage': 'Adult', 'Primary Brand': 'Caldera', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Primary Color': 'Black', 'Material': 'Polyester', 'Chew Proof': 'No', 'Washing instructions': 'Hand Wash', 'Bed Shape': 'Rectangle', 'Size': 'Medium', 'Odor Resistant': 'No', 'Bed Type': 'Heated or Cooling', 'Lifestage': 'Adult'}, 'item_dimensions': {'Length': '16 IN', 'Height': '.5 IN', 'Width': '11.5 IN'}, 'Weight': '0.025629521872823694 kg'}",9991,dog-bed,Caldera
3317071,https://www.petco.com/shop/en/petcostore/product/furhaven-granite-gray-velvet-waves-perfect-comfort-orthopedic-sofa-bed-for-dogs,"{'product_name': 'FurHaven Granite Gray Velvet Waves Perfect Comfort Orthopedic Sofa Bed for Dogs, 20"" L X 15"" W X 7"" H', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/3317071-center-1', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nThe FurHaven Perfect Comfort Sofa-Style Pet Bed takes dog beds and cat beds to a new level. Designed with oversized, pillow-y bolsters that wrap around the sleep surface, this luxurious bed is perfect for dogs and cats who crave coziness.\n- Orthopedic foam core soothes pressure points and supports joints\n- Three wrap-around bolster design provides hip and neck support\n- Plush sleep surface for maximum comfort\n- Removable machine washable cover', 'Specifications': {'id': '3317071', 'Primary Brand': 'FurHaven', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Bed Shape': 'Rectangle', 'Size': 'Small', 'Odor Resistant': 'No', 'Bed Type': 'Ortho or Memory'}, 'item_dimensions': {'Length': '20 IN', 'Height': '7 IN', 'Width': '15 IN', 'Breed Sizes': 'Small'}, 'Weight': '0.5850216949231496 kg'}",9988,dog-collar,FurHaven
3434904,https://www.petco.com/shop/en/petcostore/product/bessie-and-barnie-signature-black-pumaserenity-grey-luxury-extra-plush-faux-fur-bagel-pet-bed,"{'product_name': 'Bessie and Barnie Signature Black Puma/Serenity Grey Luxury Extra Plush Faux Fur Bagel Pet Bed, 24"" L X 24"" W X 10"" H', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/l_sale-badge,fl_relative,w_0.1,g_north_west,e_sharpen/3434904-center-2', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nBig, plush, comfortable, our signature line of Bagel Beds has it all! Softer than a freshly baked New York bagel, on our beds your furry friend will be happily sleeping all night. Available in our full line of colors and exclusive patterns. Bagel Beds are designed with a 360-degree zipper making it easy to assemble and clean. In addition, it has a water proof pillow liner, and the covers are 100% machine washable.\n- 360-degree zipper easy to assemble and to clean\n- Cover is machine washable/dryer friendly\n- Waterproof pillow liner\n- Reversible (can be used in two different sides)\n- Long lasting, extra plush fabric', 'Specifications': {'id': '3434904', 'Primary Brand': 'Bessie and Barnie', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Bed Shape': 'Round', 'Size': 'X-Small', 'Odor Resistant': 'No', 'Bed Fill': 'Polyester'}, 'item_dimensions': {'Length': '24 IN', 'Height': '10 IN', 'Width': '24 IN'}, 'Weight': '1.6046309346463528 kg'}",9987,dog-leash,Bessie and Barnie
3436694,https://www.petco.com/shop/en/petcostore/product/bessie-and-barnie-signature-arctic-snow-luxury-extra-plush-faux-fur-bagel-pet-bed,"{'product_name': 'Bessie and Barnie Signature Arctic Snow Luxury Extra Plush Faux Fur Bagel Pet Bed, 24"" L X 24"" W X 10"" H', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/l_sale-badge,fl_relative,w_0.1,g_north_west,e_sharpen/3436694-center-2', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nBig, plush, comfortable, our signature line of Bagel Beds has it all! Softer than a freshly baked New York bagel, on our beds your furry friend will be happily sleeping all night. Available in our full line of colors and exclusive patterns. Bagel Beds are designed with a 360-degree zipper making it easy to assemble and clean. In addition, it has a water proof pillow liner, and the covers are 100% machine washable.\n- 360-degree zipper easy to assemble and to clean\n- Cover is machine washable/dryer friendly\n- Waterproof pillow liner\n- Reversible (can be used in two different sides)\n- Long lasting, extra plush fabric', 'Specifications': {'id': '3436694', 'Primary Brand': 'Bessie and Barnie', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Bed Shape': 'Round', 'Size': 'X-Small', 'Odor Resistant': 'No', 'Bed Fill': 'Polyester'}, 'item_dimensions': {'Length': '24 IN', 'Height': '10 IN', 'Width': '24 IN'}, 'Weight': '1.6046309346463528 kg'}",9981,dog-bed,Bessie and Barnie
3042361,https://www.petco.com/shop/en/petcostore/product/midwest-quiet-time-defender-orthopedic-nesting-gray-dog-bed,"{'product_name': 'Midwest Quiet Time Defender Orthopedic Nesting Gray Dog Bed, 14.25"" L X 17.75"" W', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/3042361-center-1', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nThe Midwest Nesting bed combines comfort, style, and functionality to create a luxurious, supportive pet bed your dog or cat will love! With an orthopedic egg-crate base, super-soft fleece removable liner, and thick foam high-wall bolster, this pet bed provides a high level of support and comfort. In the event of an accident, simply remove the pet bed cover (w/ hidden zipper) and place the pet bed in your washing machine w/ cold water and tumble air dry the cover. Each orthopedic egg-crate Cradle Pet Bed also features a ""no-slip"" grip on the bottom making this dog bed / cat bed ideal for hardwood or tile floors.\n- Orthopedic base provides cushioning and support for your dog\'s comfort\n- Soft fleece base and designer fabric Geo pattern on bolsters\n- Removable cover with hidden zipper is machine washable and dryer friendly\n- Non-slip bottom helps the bed stay in place on any surface\n- Teflon fabric protector repels stains, dirt, oils and liquids and helps fabric stay cleaner longer', 'Specifications': {'id': '3042361', 'Lifestage': 'Senior', 'Primary Brand': 'Midwest', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Primary Color': 'Gray', 'Material': 'Polyester', 'Size': 'X-Small', 'Bed Type': 'Ortho or Memory', 'Lifestage': 'Senior'}, 'item_dimensions': {'Length': '14.25 IN', 'Height': '5.5 IN', 'Width': '17.75 IN', 'Breed Sizes': 'Small'}, 'Weight': '0.38755075584663456 kg'}",9980,dog-leash,Midwest
3436782,https://www.petco.com/shop/en/petcostore/product/bessie-and-barnie-signature-spotted-pony-luxury-extra-plush-faux-fur-bagel-pet-bed,"{'product_name': 'Bessie and Barnie Signature Spotted Pony Luxury Extra Plush Faux Fur Bagel Pet Bed, 24"" L X 24"" W X 10"" H', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/l_sale-badge,fl_relative,w_0.1,g_north_west,e_sharpen/3436782-center-2', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nBig, plush, comfortable, our signature line of Bagel Beds has it all! Softer than a freshly baked New York bagel, on our beds your furry friend will be happily sleeping all night. Available in our full line of colors and exclusive patterns. Bagel Beds are designed with a 360-degree zipper making it easy to assemble and clean. In addition, it has a water proof pillow liner, and the covers are 100% machine washable.\n- 360-degree zipper easy to assemble and to clean\n- Cover is machine washable/dryer friendly\n- Waterproof pillow liner\n- Reversible (can be used in two different sides)\n- Long lasting, extra plush fabric', 'Specifications': {'id': '3436782', 'Primary Brand': 'Bessie and Barnie', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Bed Shape': 'Round', 'Size': 'X-Small', 'Odor Resistant': 'No', 'Bed Fill': 'Polyester'}, 'item_dimensions': {'Length': '24 IN', 'Height': '10 IN', 'Width': '24 IN'}, 'Weight': '1.6046309346463528 kg'}",9956,dog-collar,Bessie and Barnie
3308289,https://www.petco.com/shop/en/petcostore/product/bessie-and-barnie-signature-serenity-white-luxury-extra-plush-faux-fur-bagel-dog-bed,"{'product_name': 'Bessie and Barnie Signature Serenity White Luxury Extra Plush Faux Fur Bagel Dog Bed, 24"" L X 24"" W', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/l_sale-badge,fl_relative,w_0.1,g_north_west,e_sharpen/3308289-center-2', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nBig, plush, comfortable, our signature line of Bagel Beds has it all! Softer than a freshly baked New York bagel, on our beds your furry friend will be happily sleeping all night. Available in our full line of colors and exclusive patterns. Bagel Beds are designed with a 360-degree zipper making it easy to assemble and clean. In addition, it has a water proof pillow liner, and the covers are 100% machine washable.\n- 360-degree zipper easy to assemble and to clean\n- Cover is machine washable/dryer friendly\n- Waterproof pillow liner\n- Reversible (can be used in two different sides)\n- Long lasting, extra plush fabric', 'Specifications': {'id': '3308289', 'Primary Brand': 'Bessie and Barnie', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Bed Shape': 'Round', 'Size': 'X-Small', 'Odor Resistant': 'No', 'Bed Fill': 'Polyester'}, 'item_dimensions': {'Length': '24 IN', 'Height': '10 IN', 'Width': '24 IN'}, 'Weight': '1.6046309346463528 kg'}",9938,dog-bed,Bessie and Barnie
3284150,https://www.petco.com/shop/en/petcostore/product/pendleton-san-miguel-dog-bed,"{'product_name': 'Pendleton San Miguel Dog Bed, 27"" L X 36"" W', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/3284150-center-1', 'Description': 'Description\nPlease note that the product information displayed is provided by manufacturers, suppliers and other third parties and is not independently verified by Petco.Full disclaimer here.\nInspired by the influence of 19th century Spanish missionaries on Southwest weaving, this classic silhouette provides your pet with the comfort and security they love. A unique channel chambered liner eliminates fiber fill from shifting and maintains the plush loft that elevates pets off cold floors to keep them happy and healthy.\n- Zippered removable cover is machine washable\n- 100% Polyester fabric\n- 80gsm non woven water resistant liner\n- Filled with 100% eco-friendly recycled high loft MemoryFiber fill', 'Specifications': {'id': '3284150', 'Primary Brand': 'Pendleton', 'Days to Ship': 'Ships Next Business Day'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Washing instructions': 'Machine Washable', 'Bed Shape': 'Rectangle', 'Size': 'Medium', 'Odor Resistant': 'No', 'Bed Type': 'Pillow'}, 'item_dimensions': {'Length': '27 IN', 'Height': '4 IN', 'Width': '36 IN'}, 'Weight': '1.0831258808862878 kg'}",9910,dog-bed,Pendleton
3162603,https://www.petco.com/shop/en/petcostore/product/reddy-tan-canvas-cozy-and-cool-touch-dog-bed,"{'product_name': 'Reddy Tan Canvas Cozy & Cool-Touch Dog Bed, 28"" L X 28"" W', 'image_url': 'https://assets.petco.com/petco/image/upload/c_pad,dpr_1.0,f_auto,q_auto,h_636,w_636/c_pad,h_636,w_636/3162603-back-5', 'Description': 'Description\nThe Reddy Tan Canvas Cozy & Cool-Touch Dog Bed makes sure your pup stays well rested through 365 days of adventures. Built with an orthopedic foam base that provides extra support, this bed features a reversible sleep surface with warm fleece on one side and cool-touch fabric on the other. The twofold of texture allows you to switch up their sanctuary by season, whether they need to cool off after your endless summer days or heat up after braving the elements. Whatever the case, it has the best of both worlds so you and your furry bestie can keep conquering yours.\n- Keeps your pup cozy and cool through every adventure-packed season together\n- Canvas fabric made of organic cotton and filling made with recycled materials\n- Reversible pillow offers warm fleece on one side for colder temperatures and cool-touch fabric on the other for warmer temperatures\n- Orthopedic foam base for a boost of support every time they hit snooze\n- Includes a skid-resistant bottom that keeps their comfort zone in place\n- Machine-washable, removable cover and convenient handle for easy mobility', 'Specifications': {'id': '3162603', 'Primary Brand': 'Reddy'}}","{'Additional_features': {'Chew Proof': 'No', 'Material': 'Polyester', 'Bed Shape': 'Rectangle', 'Size': 'Small', 'Odor Resistant': 'No'}, 'item_dimensions': {'Length': '28 IN', 'Height': '8 IN', 'Width': '28 IN'}, 'Weight': '1.7472647955038065 kg'}",9872,dog-collar,Reddy
